Problem,Iteration,MFFD,GA,FA,TS
TEST0082,1,25,28,29,31
,2,25,28,29,30
,3,25,28,29,30
,4,25,28,29,30
,5,25,28,29,30
,6,25,28,28,30
,7,25,28,28,30
,8,25,28,28,30
,9,25,28,28,30
,10,25,28,28,30
,11,25,28,28,30
,12,25,28,28,30
,13,25,28,28,30
,14,25,28,28,30
,15,25,28,28,30
,16,25,28,28,30
,17,25,28,28,30
,18,25,28,28,30
,19,25,28,28,30
,20,25,28,28,30
,21,25,28,28,30
,22,25,28,28,30
,23,25,28,28,30
,24,25,28,28,30
,25,25,28,28,30
,26,25,28,28,30
,27,25,28,28,30
,28,25,28,28,30
,29,25,28,28,30
,30,25,28,28,30
,31,,27,28,30
,32,,27,28,30
,33,,27,28,30
,34,,27,28,30
,35,,27,28,30
,36,,27,28,30
,37,,27,27,30
,38,,27,27,30
,39,,27,27,30
,40,,27,27,
,41,,27,27,
,42,,27,27,
,43,,27,27,
,44,,27,27,
,45,,27,27,
,46,,27,27,
,47,,27,27,
,48,,27,27,
,49,,27,27,
,50,,27,27,
,51,,27,27,
,52,,27,27,
,53,,27,27,
,54,,27,27,
,55,,27,27,
,56,,27,27,
,57,,27,27,
,58,,27,27,
,59,,27,27,
,60,,27,27,
,61,,27,27,
,62,,27,27,
,63,,27,27,
,64,,27,27,
,65,,27,27,
,66,,27,27,
,67,,27,27,
,68,,27,27,
,69,,27,27,
,70,,27,27,
,71,,27,27,
,72,,27,27,
,73,,27,27,
,74,,27,,
TEST0030,1,28,31,31,31
,2,28,31,31,31
,3,28,31,31,31
,4,28,31,31,31
,5,28,31,31,31
,6,28,31,31,31
,7,28,31,31,31
,8,28,31,31,31
,9,28,31,31,31
,10,28,31,31,31
,11,28,30,31,31
,12,28,30,30,31
,13,28,30,30,31
,14,28,30,30,31
,15,28,30,30,31
,16,28,30,30,31
,17,28,30,30,31
,18,28,30,30,31
,19,28,30,30,31
,20,28,30,30,31
,21,28,30,30,31
,22,28,30,30,31
,23,28,30,30,31
,24,28,30,30,31
,25,28,30,30,31
,26,28,30,30,31
,27,28,30,30,31
,28,28,30,30,31
,29,28,30,30,31
,30,28,30,30,31
,31,,30,30,
,32,,30,30,
,33,,30,30,
,34,,30,30,
,35,,30,30,
,36,,30,30,
,37,,30,30,
,38,,30,30,
,39,,30,30,
,40,,30,30,
,41,,30,30,
,42,,30,30,
,43,,30,30,
,44,,30,30,
,45,,30,30,
,46,,30,30,
,47,,30,30,
,48,,30,30,
,49,,30,30,
,50,,30,30,
,51,,30,30,
,52,,30,30,
,53,,30,30,
,54,,30,30,
,55,,30,30,
,56,,30,30,
,57,,30,30,
,58,,30,30,
,59,,30,,
,60,,30,,
,61,,30,,
,62,,30,,
,63,,30,,
,64,,30,,
,65,,30,,
,66,,30,,
,67,,30,,
,68,,30,,
,69,,30,,
,70,,30,,
,71,,30,,
,72,,30,,
,73,,30,,
,74,,30,,
,75,,30,,
,76,,30,,
,77,,30,,
,78,,30,,
,79,,30,,
,80,,30,,
,81,,30,,
TEST0044,1,15,15,15,15
,2,15,15,15,15
,3,15,15,15,15
,4,15,15,15,15
,5,15,15,15,15
,6,15,15,15,15
,7,15,15,15,15
,8,15,15,15,15
,9,15,15,15,15
,10,15,15,15,15
,11,15,15,15,15
,12,15,15,15,15
,13,15,15,15,15
,14,15,15,15,15
,15,15,15,15,15
,16,15,15,15,15
,17,15,15,15,15
,18,15,15,15,15
,19,15,15,15,15
,20,15,15,15,15
,21,15,15,15,15
,22,15,15,15,15
,23,15,15,15,15
,24,15,15,15,15
,25,15,15,15,15
,26,15,15,15,15
,27,15,15,15,15
,28,15,15,15,15
,29,15,15,15,15
,30,15,15,15,15
TEST0014,1,24,26,26,27
,2,24,26,26,27
,3,24,26,26,27
,4,24,26,26,27
,5,24,26,26,27
,6,24,26,26,27
,7,24,26,26,27
,8,24,26,26,27
,9,24,26,26,27
,10,24,26,26,27
,11,24,26,26,27
,12,24,26,26,27
,13,24,26,26,27
,14,24,26,26,27
,15,24,26,26,27
,16,24,26,26,27
,17,24,26,26,27
,18,24,26,26,27
,19,24,26,26,27
,20,24,25,26,27
,21,24,25,26,27
,22,24,25,26,27
,23,24,25,26,27
,24,24,25,26,27
,25,24,25,26,27
,26,24,25,26,27
,27,24,25,26,27
,28,24,25,26,27
,29,24,25,26,27
,30,24,25,26,27
,31,,25,25,
,32,,25,25,
,33,,25,25,
,34,,25,25,
,35,,25,25,
,36,,25,25,
,37,,25,25,
,38,,25,25,
,39,,25,25,
,40,,25,25,
,41,,25,25,
,42,,25,25,
,43,,25,25,
,44,,25,25,
,45,,25,25,
,46,,25,25,
,47,,25,25,
,48,,25,25,
,49,,25,25,
,50,,25,25,
,51,,25,25,
,52,,25,25,
,53,,25,25,
,54,,25,25,
,55,,25,25,
,56,,25,25,
,57,,25,,
,58,,25,,
,59,,25,,
,60,,25,,
,61,,25,,
,62,,25,,
,63,,25,,
,64,,25,,
,65,,25,,
,66,,25,,
,67,,25,,
,68,,25,,
,69,,25,,
,70,,25,,
,71,,25,,
,72,,25,,
,73,,25,,
,74,,25,,
,75,,25,,
,76,,25,,
,77,,25,,
,78,,25,,
,79,,25,,
,80,,25,,
,81,,25,,
,82,,25,,
,83,,25,,
,84,,25,,
,85,,25,,
,86,,25,,
,87,,25,,
,88,,25,,
TEST0049,1,12,12,12,11
,2,12,12,12,11
,3,12,12,12,11
,4,12,12,12,11
,5,12,12,12,11
,6,12,12,12,11
,7,12,12,12,11
,8,12,12,12,11
,9,12,12,12,11
,10,12,12,12,11
,11,12,12,12,11
,12,12,12,12,11
,13,12,12,12,11
,14,12,12,12,11
,15,12,12,12,11
,16,12,12,12,11
,17,12,12,12,11
,18,12,12,12,11
,19,12,12,12,11
,20,12,12,12,11
,21,12,12,12,11
,22,12,12,12,11
,23,12,12,12,11
,24,12,12,12,11
,25,12,12,12,11
,26,12,12,12,11
,27,12,12,12,11
,28,12,12,12,11
,29,12,12,12,11
,30,12,12,12,11
