Problem,Algorithm,Iteration,Number of Bins
TEST0082,GA,1,28
,GA,2,28
,GA,3,28
,GA,4,28
,GA,5,28
,GA,6,28
,GA,7,28
,GA,8,28
,GA,9,28
,GA,10,28
,GA,11,28
,GA,12,28
,GA,13,28
,GA,14,28
,GA,15,28
,GA,16,28
,GA,17,28
,GA,18,28
,GA,19,28
,GA,20,28
,GA,21,28
,GA,22,28
,GA,23,28
,GA,24,28
,GA,25,28
,GA,26,28
,GA,27,28
,GA,28,28
,GA,29,28
,GA,30,28
,GA,1,29
,GA,2,29
,GA,3,29
,GA,4,28
,GA,5,28
,GA,6,28
,GA,7,28
,GA,8,28
,GA,9,28
,GA,10,28
,GA,11,28
,GA,12,28
,GA,13,28
,GA,14,28
,GA,15,28
,GA,16,28
,GA,17,28
,GA,18,28
,GA,19,28
,GA,20,28
,GA,21,28
,GA,22,28
,GA,23,28
,GA,24,28
,GA,25,28
,GA,26,28
,GA,27,28
,GA,28,28
,GA,29,28
,GA,30,28
,GA,31,28
,GA,32,28
,GA,33,28
,GA,34,28
,GA,35,28
,GA,36,28
,GA,37,28
,GA,38,28
,GA,39,28
,GA,40,28
,GA,41,28
,GA,42,28
,GA,43,28
,GA,44,28
,GA,45,28
,GA,46,28
,GA,47,28
,GA,48,28
,GA,49,28
,GA,50,28
,GA,51,27
,GA,52,27
,GA,53,27
,GA,54,27
,GA,55,27
,GA,56,27
,GA,57,27
,GA,58,27
,GA,59,27
,GA,60,27
,GA,61,27
,GA,62,27
,GA,63,27
,GA,64,27
,GA,65,27
,GA,66,27
,GA,67,27
,GA,68,27
,GA,69,27
,GA,70,27
,GA,71,27
,GA,72,27
,GA,73,27
,GA,74,27
,GA,75,27
,GA,76,27
,GA,77,27
,GA,78,27
,GA,79,27
,GA,80,27
,GA,81,27
,GA,82,27
,GA,83,27
,GA,84,27
,GA,85,27
,GA,86,27
,GA,87,27
,GA,88,27
,GA,89,27
,GA,90,27
,GA,91,27
,GA,92,27
,GA,93,27
,GA,94,27
,GA,95,27
,GA,96,27
,GA,97,27
,GA,98,27
,GA,99,27
,GA,100,27
,GA,101,27
,GA,102,27
,GA,103,27
,GA,104,27
,GA,105,27
,GA,106,27
,GA,107,27
,GA,108,27
,GA,1,28
,GA,2,28
,GA,3,28
,GA,4,28
,GA,5,28
,GA,6,28
,GA,7,28
,GA,8,28
,GA,9,28
,GA,10,28
,GA,11,28
,GA,12,28
,GA,13,28
,GA,14,28
,GA,15,28
,GA,16,28
,GA,17,28
,GA,18,28
,GA,19,28
,GA,20,28
,GA,21,28
,GA,22,28
,GA,23,28
,GA,24,28
,GA,25,28
,GA,26,28
,GA,27,28
,GA,28,28
,GA,29,28
,GA,30,28
,GA,1,28
,GA,2,28
,GA,3,28
,GA,4,28
,GA,5,28
,GA,6,28
,GA,7,28
,GA,8,28
,GA,9,28
,GA,10,28
,GA,11,28
,GA,12,28
,GA,13,28
,GA,14,28
,GA,15,28
,GA,16,28
,GA,17,28
,GA,18,28
,GA,19,28
,GA,20,28
,GA,21,28
,GA,22,28
,GA,23,28
,GA,24,28
,GA,25,28
,GA,26,28
,GA,27,28
,GA,28,28
,GA,29,28
,GA,30,28
,GA,31,28
,GA,1,29
,GA,2,29
,GA,3,29
,GA,4,29
,GA,5,29
,GA,6,28
,GA,7,28
,GA,8,28
,GA,9,28
,GA,10,28
,GA,11,28
,GA,12,28
,GA,13,28
,GA,14,28
,GA,15,28
,GA,16,28
,GA,17,28
,GA,18,28
,GA,19,28
,GA,20,28
,GA,21,28
,GA,22,28
,GA,23,28
,GA,24,28
,GA,25,28
,GA,26,28
,GA,27,28
,GA,28,28
,GA,29,28
,GA,30,28
,GA,31,28
,GA,32,28
,GA,33,28
,GA,34,28
,GA,35,28
,GA,36,28
,GA,1,29
,GA,2,29
,GA,3,29
,GA,4,28
,GA,5,28
,GA,6,28
,GA,7,28
,GA,8,28
,GA,9,28
,GA,10,28
,GA,11,28
,GA,12,28
,GA,13,28
,GA,14,28
,GA,15,28
,GA,16,28
,GA,17,28
,GA,18,28
,GA,19,28
,GA,20,28
,GA,21,28
,GA,22,28
,GA,23,28
,GA,24,28
,GA,25,28
,GA,26,28
,GA,27,28
,GA,28,28
,GA,29,28
,GA,30,28
,GA,31,28
,GA,32,28
,GA,33,28
,GA,34,28
,GA,1,27
,GA,2,27
,GA,3,27
,GA,4,27
,GA,5,27
,GA,6,27
,GA,7,27
,GA,8,27
,GA,9,27
,GA,10,27
,GA,11,27
,GA,12,27
,GA,13,27
,GA,14,27
,GA,15,27
,GA,16,27
,GA,17,27
,GA,18,27
,GA,19,27
,GA,20,27
,GA,21,27
,GA,22,27
,GA,23,27
,GA,24,27
