Problem Name,Algorithm,Execution Time (ms),Number Of Bins,Bin Fullness (%),Fairness Of Packing
"TEST0049",Genetic Algorithm,88,12,91.617,0.085
"TEST0049",Firefly Algorithm,98,11,96.547,0.038
"TEST0014",Genetic Algorithm,28,26,88.450,0.096
"TEST0014",Firefly Algorithm,178,25,88.074,0.092
"TEST0082",Genetic Algorithm,21,28,85.608,0.121
"TEST0082",Firefly Algorithm,194,27,87.003,0.106
"TEST0044",Genetic Algorithm,36,15,93.326,0.057
"TEST0044",Firefly Algorithm,222,14,93.914,0.044
"TEST0030",Genetic Algorithm,27,30,89.988,0.095
"TEST0030",Firefly Algorithm,198,30,87.511,0.101
