Problem,Algorithm,Runtime (ms)
TEST0082,MFFD,0
,MFFD,1
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,1
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,1
,MFFD,0
,MFFD,0
,GA,16
,GA,22
,GA,28
,GA,18
,GA,37
,GA,19
,GA,22
,GA,23
,GA,42
,GA,20
,GA,27
,GA,17
,GA,19
,GA,25
,GA,18
,GA,18
,GA,18
,GA,26
,GA,31
,GA,27
,GA,30
,GA,18
,GA,30
,GA,19
,GA,30
,GA,19
,GA,33
,GA,31
,GA,23
,GA,35
,FA,91
,FA,122
,FA,91
,FA,221
,FA,90
,FA,175
,FA,90
,FA,91
,FA,97
,FA,92
,FA,96
,FA,101
,FA,106
,FA,102
,FA,96
,FA,93
,FA,146
,FA,112
,FA,123
,FA,105
,FA,94
,FA,98
,FA,95
,FA,112
,FA,99
,FA,97
,FA,151
,FA,97
,FA,101
,FA,118
,TS,19
,TS,14
,TS,11
,TS,13
,TS,12
,TS,15
,TS,13
,TS,13
,TS,12
,TS,12
,TS,13
,TS,13
,TS,16
,TS,12
,TS,13
,TS,11
,TS,12
,TS,11
,TS,13
,TS,11
,TS,11
,TS,11
,TS,13
,TS,12
,TS,11
,TS,10
,TS,12
,TS,10
,TS,11
,TS,13
TEST0030,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,1
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,MFFD,0
,GA,40
,GA,28
,GA,42
,GA,29
,GA,33
,GA,29
,GA,27
,GA,34
,GA,36
,GA,29
,GA,29
,GA,41
,GA,44
,GA,26
,GA,33
,GA,32
,GA,26
,GA,26
,GA,45
,GA,65
,GA,51
,GA,44
,GA,37
,GA,36
,GA,24
,GA,26
,GA,25
,GA,53
,GA,27
,GA,47
,FA,206
,FA,115
,FA,179
,FA,114
,FA,114
,FA,136
,FA,116
,FA,111
,FA,184
,FA,127
,FA,218
,FA,202
,FA,142
,FA,178
,FA,136
,FA,118
,FA,116
,FA,141
,FA,124
,FA,149
,FA,191
,FA,128
,FA,128
,FA,126
,FA,200
,FA,141
,FA,251
,FA,214
,FA,191
,FA,185
,TS,16
,TS,15
,TS,16
,TS,14
,TS,14
,TS,13
,TS,17
,TS,16
,TS,15
,TS,13
,TS,12
,TS,15
,TS,14
,TS,13
,TS,13
,TS,13
,TS,15
,TS,12
,TS,14
,TS,13
,TS,12
,TS,13
,TS,15
,TS,12
,TS,12
,TS,13
