Problem,Algorithm,Avg. Number of Bins,Avg. Bin Fullness, Avg. Fairness of Packing, Avg. Execution Time (ms),Total Execution Time (ms)
TEST0082,MFFD,25.000,95.881,0.154,0.100,3.000
,GA,30.967,77.458,0.161,27.467,824.000
,FA,27.400,84.776,0.132,226.367,6791.000
,TS,30.000,77.429,0.156,40.933,1228.000
TEST0030,MFFD,28.000,96.416,0.153,0.033,1.000
,GA,32.633,82.781,0.123,45.933,1378.000
,FA,29.900,87.571,0.097,225.500,6765.000
,TS,31.000,84.444,0.109,21.633,649.000
TEST0044,MFFD,15.000,93.326,0.242,0.100,3.000
,GA,15.433,90.798,0.117,44.833,1345.000
,FA,14.000,93.988,0.048,258.067,7742.000
,TS,15.000,91.982,0.058,13.500,405.000
TEST0014,MFFD,24.000,95.821,0.170,0.067,2.000
,GA,27.700,83.081,0.130,38.900,1167.000
,FA,25.033,88.608,0.092,194.700,5841.000
,TS,27.000,84.820,0.082,19.033,571.000
TEST0049,MFFD,12.000,91.617,0.271,0.333,10.000
,GA,12.033,91.382,0.092,37.100,1113.000
,FA,11.000,93.595,0.047,23.600,708.000
,TS,11.000,94.689,0.038,18.900,567.000
